org.apache.tools.zip.ZipFile,org.apache.tools.zip.ZipFile$BoundedInputStream,1
org.apache.tools.ant.util.LineTokenizer,org.apache.tools.ant.util.Tokenizer,1
org.apache.tools.ant.taskdefs.MacroInstance,org.apache.tools.ant.taskdefs.MacroInstance$Element,1
org.apache.tools.ant.types.Permissions,org.apache.tools.ant.types.Permissions$MySM,1
org.apache.tools.ant.types.Permissions$MySM,org.apache.tools.ant.types.Permissions$Permission,1
org.apache.tools.ant.types.selectors.modifiedselector.Algorithm,org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator,1
org.apache.tools.ant.types.selectors.modifiedselector.Cache,org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator,1
org.apache.tools.ant.types.selectors.modifiedselector.DigestAlgorithm,org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator,1
org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator,org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,1
org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,1
org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector$CacheName,1
org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector$AlgorithmName,1
org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector$ComparatorName,1
org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator,org.apache.tools.ant.types.selectors.modifiedselector.PropertiesfileCache,1
org.apache.tools.ant.types.selectors.modifiedselector.Algorithm,org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,1
org.apache.tools.ant.types.selectors.modifiedselector.Cache,org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,1
org.apache.tools.ant.types.selectors.modifiedselector.DigestAlgorithm,org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,1
org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,1
org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector$CacheName,1
org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector$AlgorithmName,1
org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector$ComparatorName,1
org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,org.apache.tools.ant.types.selectors.modifiedselector.PropertiesfileCache,1
org.apache.tools.ant.types.Permissions,org.apache.tools.ant.types.Permissions$Permission,1
org.apache.tools.ant.types.selectors.modifiedselector.Algorithm,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,1
