a,b
org.apache.tools.ant.types.selectors.modifiedselector.Algorithm,org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm
org.apache.tools.ant.taskdefs.condition.Condition,org.apache.tools.ant.taskdefs.condition.Not
org.apache.tools.ant.filters.TokenFilter$ChainableReaderFilter,org.apache.tools.ant.filters.TokenFilter$ReplaceString
org.apache.tools.ant.taskdefs.ProcessDestroyer,org.apache.tools.ant.taskdefs.ProcessDestroyer$ProcessDestroyerImpl
org.apache.tools.ant.taskdefs.condition.Condition,org.apache.tools.ant.taskdefs.condition.Or
org.apache.tools.ant.util.regexp.RegexpFactory,org.apache.tools.ant.util.regexp.RegexpMatcherFactory
org.apache.tools.ant.helper.ProjectHelper2,org.apache.tools.ant.helper.ProjectHelper2$MainHandler
org.apache.tools.ant.helper.ProjectHelper2$AntHandler,org.apache.tools.ant.helper.ProjectHelper2$MainHandler
org.apache.tools.ant.types.PropertySet$PropertyRef,org.apache.tools.ant.types.PropertySet$BuiltinPropertySetName
org.apache.tools.ant.filters.TokenFilter$ChainableReaderFilter,org.apache.tools.ant.filters.TokenFilter$ContainsRegex
org.apache.tools.ant.taskdefs.Replace$NestedString,org.apache.tools.ant.taskdefs.Replace$Replacefilter
org.apache.tools.ant.helper.ProjectHelperImpl,org.apache.tools.ant.helper.ProjectHelperImpl$DescriptionHandler
org.apache.tools.ant.helper.ProjectHelperImpl$AbstractHandler,org.apache.tools.ant.helper.ProjectHelperImpl$DescriptionHandler
org.apache.tools.ant.types.selectors.modifiedselector.Algorithm,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector
org.apache.tools.ant.types.selectors.modifiedselector.Cache,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector
org.apache.tools.ant.types.selectors.modifiedselector.DigestAlgorithm,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector
org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector
org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector$CacheName
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector$AlgorithmName
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector$ComparatorName
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,org.apache.tools.ant.types.selectors.modifiedselector.PropertiesfileCache
org.apache.tools.ant.IntrospectionHelper,org.apache.tools.ant.IntrospectionHelper$NestedCreator
org.apache.tools.ant.IntrospectionHelper,org.apache.tools.ant.IntrospectionHelper$AttributeSetter
org.apache.tools.ant.IntrospectionHelper,org.apache.tools.ant.IntrospectionHelper$Creator
org.apache.tools.ant.helper.ProjectHelper2,org.apache.tools.ant.helper.ProjectHelper2$ProjectHandler
org.apache.tools.ant.helper.ProjectHelper2$AntHandler,org.apache.tools.ant.helper.ProjectHelper2$ProjectHandler
org.apache.tools.ant.taskdefs.Concat,org.apache.tools.ant.taskdefs.Concat$TextElement
