org.hibernate.loader.plan.spi.LoadPlan,org.hibernate.loader.plan.spi.LoadPlan$Disposition,2, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.tuple.PojoInstantiator,2, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.bytecode.spi.ProxyFactoryFactory,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.engine.spi.SessionFactoryDelegatingImpl,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.engine.spi.SessionFactoryImplementor,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.engine.spi.SessionFactoryImplementor$DeserializationResolver,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.bytecode.internal.javassist.ProxyFactoryFactoryImpl$BasicProxyFactoryImpl,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.tuple.entity.PojoEntityTuplizer,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.proxy.ProxyFactory,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.cfg.Environment,2, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.internal.SessionFactoryImpl$SessionBuilderImpl,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.internal.SessionFactoryImpl$StatelessSessionBuilderImpl,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.bytecode.internal.javassist.ProxyFactoryFactoryImpl,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.internal.SessionFactoryRegistry,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.internal.SessionFactoryRegistry$ObjectFactoryImpl,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.proxy.pojo.javassist.JavassistLazyInitializer,1, LD
org.hibernate.proxy.pojo.javassist.SerializableProxy,org.hibernate.bytecode.internal.javassist.ProxyFactoryFactoryImpl$PassThroughHandler,1, LD
